"GOOGLE_REVIEWS ID","Business Rating","Business Reviews","Source URL","Business Name","Reviewer Name","Local Guide","Review Text","Review Rating","Review Date","Reviewer URL","Like","Review Photo","Scraped Time"
1,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Mike  Charlebois",,"A very nice little spot in Guelph.  The food is excellent and you get a pile of food so come hungry!  The service was great, she was very kind and polite.  Much more than I've seen from a sever in a while.  Will be returning again.","5 stars","a week ago","https://www.google.com/maps/contrib/105614394805478414264/reviews?hl=en-CA","Like","","2019-07-25 12:28:05 PM"
2,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Alex  P",,"I'm surprised I hadn't heard of this place before, despite living in Guelph for 5 years. Lovely little Greek restaurant! Beautiful interior and the food was delicious. I had the mousaka and a Greek Tempest, but also tried the chicken souvlaki. A bit on the pricier side, but it was well worth it.","5 stars","a month ago","https://www.google.com/maps/contrib/117666129723135331456/reviews?hl=en-CA","Like","","2019-07-25 12:28:44 PM"
3,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Scott  Patterson","Local Guide","Always a good meal. Decently priced and not a chain! Love the fact the menu hasn't changed since we started going there years ago. Guelph needs more of these.","4 stars","3 months ago","https://www.google.com/maps/contrib/110966526735925194769/reviews?hl=en-CA","Like","","2019-07-25 12:28:58 PM"
4,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Fabrizio  Tessari",,"It was awesome great staff and great food and service","5 stars","a month ago","https://www.google.com/maps/contrib/109243300591181634603/reviews?hl=en-CA","Like","","2019-07-25 12:29:11 PM"
5,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Mauricio  Gonzalez",,"Best potatoes in town.
You might think to yourself , well what about the other food ? Why is this review just about potatoes.
The food itself is amazing , but order potatoes and you will see why the first thing I said was best potatoes in town. This is 5 out of 5 on the potatoes alone. 

Like words cannot describe how good this is because the English language doesn't have them.","5 stars","6 months ago","https://www.google.com/maps/contrib/102794584068359136011/reviews?hl=en-CA","Like 1","","2019-07-25 12:29:25 PM"
6,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Dereck  Gignac","Local Guide","Poor service, despite a large serving staff in a small, cramped environment. The food was sub-par for the prices asked. Two people at our table received only part of their orders, and water was only served when asked for. There was an hour wait between drink orders. I was given an uncleaned plate during the appetizer. One of the worst restaurant experiences I've had.

I've been to Greek diners with better food and service for half the price. Had I thought to ask at the time, I would have asked to comp my meal as It was basically inedible (completely dried out meat, undercooked rice dish, etc.). I only hope that my experience varies greatly from the average.","1 star","4 months ago","https://www.google.com/maps/contrib/108999449873979008478/reviews?hl=en-CA","Like","","2019-07-25 12:29:46 PM"
7,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Vic","Local Guide","Delicious breakfast special! Omelette was amazing!!!! Wait staff was excellent!","5 stars","a month ago","https://www.google.com/maps/contrib/100301929928193510968/reviews?hl=en-CA","Like","","2019-07-25 12:30:18 PM"
8,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Dean  Donaldson",,"This has become our go to restaurant in Guelph.  The food is delicious and the service is always prompt and friendly.  Maria and her team make the experience a pleasure.  Excellent job oh and fantastic potatoes!!!!  You gotta eat here!!!!","5 stars","4 months ago","https://www.google.com/maps/contrib/108489144775053265079/reviews?hl=en-CA","Like","","2019-07-25 12:30:33 PM"
9,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","laurel  mcdaniel","Local Guide","Lots of vegetarian/vegan options. Nicely cooked food.","5 stars","4 weeks ago","https://www.google.com/maps/contrib/100936470807892253894/reviews?hl=en-CA","Like","","2019-07-25 12:30:40 PM"
10,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Kyle  Serafini","Local Guide","Great food and a cozy atmosphere. Very friendly service. A little more expensive than normal but the servings sizes more than make up for it! Recommended","5 stars","2 months ago","https://www.google.com/maps/contrib/103639404020838538085/reviews?hl=en-CA","Like","","2019-07-25 12:30:49 PM"
11,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Janet  Barclay","Local Guide","I liked the atmosphere and the extensive menu but found the food itself disappointing. I like my roasted potatoes to be crispy on the outside, the salad was boring, and there was just too much salt - I had to drink so much water all night afterwards!","3 stars","2 months ago","https://www.google.com/maps/contrib/112925829454444793058/reviews?hl=en-CA","Like","","2019-07-25 12:30:57 PM"
12,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Chase  Pierson","Local Guide","Four of us had dinner here for the first time last night. Service was very good and the chef will alter the menu such as changing sauces to your own preference. The Lamb chops with shrimp special was delicious and the Bistro penne was exceptionally good. The restaurant is small and the booths make for a quieter relaxing dining experience. You can actually carry on a conversation with your friends unlike many of the popular Guelph rerstaurants. Definately will be back. This place never disappoints from the service to the delicious meals and the lovely decor! The food is always hot, very tasty and plentiful! Make a reservation though as it fills up quickly. Plenty of free parking! Prices are very reasonable also!","5 stars","3 months ago","https://www.google.com/maps/contrib/110960404111337625629/reviews?hl=en-CA","Like","","2019-07-25 12:31:11 PM"
13,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","R  H","Local Guide","it was delicous, thanks! but the after meal candies are a big ðŸ¤”","4 stars","a month ago","https://www.google.com/maps/contrib/114120489519713384313/reviews?hl=en-CA","Like","","2019-07-25 12:32:08 PM"
14,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Gagan  Nayyar",,"This restaurant has amazing food and good prices","5 stars","2 months ago","https://www.google.com/maps/contrib/107319306365625597229/reviews?hl=en-CA","Like","","2019-07-25 12:32:16 PM"
15,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Meg  Harding",,"As always had such an amazing dinner at cuisina! Coordinated my company's Christmas party (21 people) with Maria. She is so accommodating and, as every time I go, the food and service are the absolute best!!","5 stars","7 months ago","https://www.google.com/maps/contrib/111813159533755635354/reviews?hl=en-CA","Like","","2019-07-25 12:32:23 PM"
16,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","David  Hanstke","Local Guide","They have been rated as one of Ontario's top restaurants many times and there is a reason for it.","5 stars","a month ago","https://www.google.com/maps/contrib/109920165814799686986/reviews?hl=en-CA","Like","","2019-07-25 12:33:13 PM"
17,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Rob  Perchthold",,"Cozy atmosphere with delicious greek food. I really enjoy the breakfast until 2pm on the weekend, try the opa skillet.","5 stars","4 months ago","https://www.google.com/maps/contrib/102366047923805266530/reviews?hl=en-CA","Like","","2019-07-25 12:33:21 PM"
18,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Nolan  Evans","Local Guide","Consistently good value. Food is well prepared with generous portions and service is always friendly.","4 stars","5 months ago","https://www.google.com/maps/contrib/104932814202483923187/reviews?hl=en-CA","Like","","2019-07-25 12:33:29 PM"
19,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Ken  C",,"Love this restaurant.  Tasty food, friendly services, plenty of food.   I go there regularly esp when I am hungry.","5 stars","6 months ago","https://www.google.com/maps/contrib/106843993524450532366/reviews?hl=en-CA","Like","","2019-07-25 12:33:36 PM"
20,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","r  wilson",,"amazing restaurant for both the food and the service!","5 stars","3 months ago","https://www.google.com/maps/contrib/115598512141546746807/reviews?hl=en-CA","Like","","2019-07-25 12:33:50 PM"
21,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Linda  Morgan","Local Guide","Food is so tasty and large portions served. Excellent servers with prompt service. Great atmosphere and it's one of my favourites.","5 stars","7 months ago","https://www.google.com/maps/contrib/110508200983388964827/reviews?hl=en-CA","Like","","2019-07-25 12:34:04 PM"
22,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Murilo  Romulo","Local Guide","Very good food, friendly staff. Price is not the best but it worth it. Very good overall.","5 stars","5 months ago","https://www.google.com/maps/contrib/106020400141762100075/reviews?hl=en-CA","Like","","2019-07-25 12:34:11 PM"
23,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Tom  Udale-Clough","Local Guide","Nice restaurant, good food, large portions. My daughter was provided crayons and coloring page :)","4 stars","5 months ago","https://www.google.com/maps/contrib/108846962512040475724/reviews?hl=en-CA","Like","","2019-07-25 12:34:19 PM"
24,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Patrick  Cuyegkeng","Local Guide","Very friendly staff. Very good for quality, and good portion sizes.","5 stars","3 months ago","https://www.google.com/maps/contrib/100768361261272948262/reviews?hl=en-CA","Like","","2019-07-25 12:34:27 PM"
25,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Linda  Fearnley","Local Guide","Excellent food. Great service. Loved it","5 stars","6 months ago","https://www.google.com/maps/contrib/117465077934243648731/reviews?hl=en-CA","Like","","2019-07-25 12:34:34 PM"
26,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Mary  dobbin",,"Food is great ... service is usually very good. Today they only had 1 waitress. So was a bit slow. Great atmosphere.","5 stars","9 months ago","https://www.google.com/maps/contrib/102599387767665660764/reviews?hl=en-CA","Like 1","","2019-07-25 12:34:42 PM"
27,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","don  breen",,"Delicious food, friendly staff, casual atmosphere  .... highly recommended","5 stars","7 months ago","https://www.google.com/maps/contrib/107973809247167907321/reviews?hl=en-CA","Like","","2019-07-25 12:34:50 PM"
28,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Jackie  Nemni","Local Guide","Delicious food. Fast and friendly service.","5 stars","5 months ago","https://www.google.com/maps/contrib/115237821604027583537/reviews?hl=en-CA","Like","","2019-07-25 12:34:58 PM"
29,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","jr  longley","Local Guide","You gotta eat here!
It is no wonder why need a reservation to eat here.  This place is so popular.  Why?  In addition to the great food, reasonable prices and super service, you get generous portions!  Yes, finally.  What a wonderful place to connect with your family and friends for a totally memorable dining experience.  Hats off to this establishment for making our family outing a total success!","5 stars","a year ago","https://www.google.com/maps/contrib/117160987315234379006/reviews?hl=en-CA","Like","","2019-07-25 12:35:12 PM"
30,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Carmen  Perez","Local Guide","Very good taste and quality of attention","5 stars","5 months ago","https://www.google.com/maps/contrib/103296918031209585975/reviews?hl=en-CA","Like","","2019-07-25 12:35:19 PM"
