"GOOGLE_REVIEWS ID","Business Rating","Business Reviews","Source URL","Business Name","Reviewer Name","Local Guide","Review Text","Review Rating","Review Date","Reviewer URL","Like","Review Photo","Scraped Time"
31,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Tyler  Butzke","Local Guide","On of my favorites. Great atmosphere and take out.","5 stars","5 months ago","https://www.google.com/maps/contrib/116005974876101061691/reviews?hl=en-CA","Like","","2019-07-25 12:35:27 PM"
32,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Chanelle  Tricia","Local Guide","Love the environment. The food was fantastic but pls try to improve the calamari . Thanks!","4 stars","8 months ago","https://www.google.com/maps/contrib/113120083223719105195/reviews?hl=en-CA","Like","","2019-07-25 12:35:35 PM"
33,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","awais  shah",,"Thanks guy's for delicious food. I will referred Cusina Mediterranean Bistro to my friends.","5 stars","9 months ago","https://www.google.com/maps/contrib/116198032084012449136/reviews?hl=en-CA","Like","","2019-07-25 12:35:43 PM"
34,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Diana  Sterenberg",,"Great food in a beautiful dining room.  Iâ€™ve never had bad service.  Great meeting place.","5 stars","10 months ago","https://www.google.com/maps/contrib/103141554358378875244/reviews?hl=en-CA","Like 1","","2019-07-25 12:35:50 PM"
35,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Jaroslaw  Okopien",,"Excellent food & Service +++","5 stars","4 months ago","https://www.google.com/maps/contrib/114281370811955085227/reviews?hl=en-CA","Like","","2019-07-25 12:35:58 PM"
36,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Debbie  Wheeldon",,"Excellent.  Everything was so good!","5 stars","3 months ago","https://www.google.com/maps/contrib/111491807876323026237/reviews?hl=en-CA","Like","","2019-07-25 12:36:05 PM"
37,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Mary  Borghese",,"Awesome food. Good atmosphere. Friendly staff","5 stars","8 months ago","https://www.google.com/maps/contrib/114435688636961798321/reviews?hl=en-CA","Like","","2019-07-25 12:36:32 PM"
38,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Erik  Rumbaugh","Local Guide","Great food, and excellent service. Was a pleasure to eat here,  I had the calamari, followed by the chicken skewers and they were both perfect.","5 stars","9 months ago","https://www.google.com/maps/contrib/117635829611529900024/reviews?hl=en-CA","Like","","2019-07-25 12:36:39 PM"
39,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Jason  Bruder","Local Guide","Great food. The best pasta dish I have ever had.","4 stars","10 months ago","https://www.google.com/maps/contrib/118354674161416683726/reviews?hl=en-CA","Like 1","","2019-07-25 12:36:47 PM"
40,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Nick  Scott",,"Unbelievably good!","5 stars","a month ago","https://www.google.com/maps/contrib/112012346954871180446/reviews?hl=en-CA","Like","","2019-07-25 12:36:55 PM"
41,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Alejandro  Garza","Local Guide","This is the place to go in Guelph when you are craving Greek food. I love the chicken suvlaki combo  it's delicious. My wife always gets the cousins burger it's also quite tasty.","5 stars","a year ago","https://www.google.com/maps/contrib/107548855179249372151/reviews?hl=en-CA","Like","","2019-07-25 12:37:04 PM"
42,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Cath  Hanna",,"Great food and great service.  Never feel rushed. Would highly recommend it","5 stars","a year ago","https://www.google.com/maps/contrib/116858800726552188558/reviews?hl=en-CA","Like","","2019-07-25 12:37:12 PM"
43,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","1Attuned1","Local Guide","Okay. Seriously. Do yourself a favour and eat here! Loved it. I visit Guelph 4 or 5 times a year and always try to stop in here. Today's meal was exceptional and delicious!","5 stars","a year ago","https://www.google.com/maps/contrib/115210508066907293206/reviews?hl=en-CA","Like","","2019-07-25 12:37:20 PM"
44,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Qasem","Local Guide","The place was nice, and the food was excellent","5 stars","7 months ago","https://www.google.com/maps/contrib/115791047721451894570/reviews?hl=en-CA",,"https://lh5.googleusercontent.com/p/AF1QipPNm_w_L_oCBGKmyLTdzBomXWiDVOmGjjfdyIcC=w600-h600-p-k-no","2019-07-25 12:37:34 PM"
45,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Sami  Alkanafani","Local Guide","The food was great but service wasnâ€™t. Maybe they were having staff issues? Only 2 people working on a Saturday and restaurant was full.","3 stars","a year ago","https://www.google.com/maps/contrib/112002542038481443789/reviews?hl=en-CA","Like","","2019-07-25 12:37:47 PM"
46,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Karen  Eden","Local Guide","First time there and everything was great.","5 stars","6 months ago","https://www.google.com/maps/contrib/114592723722896017773/reviews?hl=en-CA","Like","","2019-07-25 12:37:54 PM"
47,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Fred  Searl",,"The food is fantastic 
One of the best Greek meals I have ever had!!
Will definitely be back","5 stars","11 months ago","https://www.google.com/maps/contrib/100456294878921057294/reviews?hl=en-CA","Like","","2019-07-25 12:38:02 PM"
48,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Andrew  Kropinski",,"We have frequently eaten at Cusina Mediterrranean Bistro choosing it over other restaurants for the range of tastey dishes, friendly and rapid service, and pleasant ambiance.  On our latest visit I had the grilled tenderloin and shrimp special, while my wife chose the grilled chicken and sweat corn salad.  Nicely presented, tastey and most definitely excellent value for the cost.  My only complaint would be that the enjoyment of hot food would be enhanced by plating out on heated plates.  For dessert we had carrot cake and baklava- both excellent.","4 stars","a year ago","https://www.google.com/maps/contrib/101956704583566725936/reviews?hl=en-CA","Like","","2019-07-25 12:38:16 PM"
49,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Connie  Garland","Local Guide","Meals are always very good especially the salads.","4 stars","8 months ago","https://www.google.com/maps/contrib/109396715190444641799/reviews?hl=en-CA","Like","","2019-07-25 12:39:07 PM"
50,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","paul  v",,"Best souvlaki this side of the Danforth!","5 stars","8 months ago","https://www.google.com/maps/contrib/116491953596173733964/reviews?hl=en-CA","Like","","2019-07-25 12:39:15 PM"
51,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Surb  Toor-Smith",,"Great Food, Great Service","5 stars","6 months ago","https://www.google.com/maps/contrib/109149819049272411119/reviews?hl=en-CA","Like","","2019-07-25 12:39:53 PM"
52,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Natasha  Di  Carlo","Local Guide","Check out @saucy.squash on Instagram for photos!","4 stars","7 months ago","https://www.google.com/maps/contrib/114707155309833606415/reviews?hl=en-CA","Like","","2019-07-25 12:40:07 PM"
53,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Lyne  Poulin",,"Great Bistro, we have never been disappointed with our mean. We always take friends when they are visiting from out of town and everyone loves it.  It's great for date night too!","5 stars","a year ago","https://www.google.com/maps/contrib/105753257496067357284/reviews?hl=en-CA","Like","","2019-07-25 12:40:15 PM"
54,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Susan  Fielding","Local Guide","Fast service. Great prices and gourmet food. Nice atmosphere too. Would highly recommend.","5 stars","a year ago","https://www.google.com/maps/contrib/102150538351886560540/reviews?hl=en-CA","Like","","2019-07-25 12:40:34 PM"
55,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Mary  Warwick",,"Always great food and service.","5 stars","10 months ago","https://www.google.com/maps/contrib/103106348763514755778/reviews?hl=en-CA","Like","","2019-07-25 12:40:48 PM"
56,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Kertney  Martinez","Local Guide","Three of us went to this restaurant because the pictures looked amazing, and it was so highly rated. Two of our meals were delicious, and the third looked like a child's meal. He ordered veal Parmesan and it was covered with what looked like shredded cheese. Literally just covered in it. The meals didn't look like these photos, but we got two amazing meals out of three, so I'm giving it four stars.","4 stars","2 years ago","https://www.google.com/maps/contrib/113665962794671061484/reviews?hl=en-CA","Like","","2019-07-25 12:41:08 PM"
57,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Frank  Fulton","Local Guide","One of Guelph's best restaurants i.m.o.  My sister in law visiting from Japan had never tried Greek food so off we went starting with saganaki (flaming sharp cheese served on a hot skillet).  We shared chicken souvlaki and a Mediterranean calamari that was grilled and served in a fabulous spicy tomato sauce.   Their prices are quite reasonable for ""far better than average"" dining.  I'd recommend making a reservation.  It's a small place and usually busy.","5 stars","a year ago","https://www.google.com/maps/contrib/116859521575155485183/reviews?hl=en-CA",,"https://lh5.googleusercontent.com/p/AF1QipOCI1ODTQ4TXEWop0z1O1qfeLMFpP4onEZk7RHk=w600-h600-p-k-no","2019-07-25 12:41:35 PM"
58,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Arezoo  Aram",,"Thank you all for making our Valentines dinner so special with your great hospitality. Our dinner was absolutely delicious and services was excellent.","5 stars","a year ago","https://www.google.com/maps/contrib/106469466604286192187/reviews?hl=en-CA","Like","","2019-07-25 12:42:13 PM"
59,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","peter  szpular",,"Awesome meal","5 stars","2 months ago","https://www.google.com/maps/contrib/101571615974236403953/reviews?hl=en-CA","Like","","2019-07-25 12:42:28 PM"
60,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Bruce  Bowman","Local Guide","Food was ok not great and over priced for what you get","3 stars","10 months ago","https://www.google.com/maps/contrib/106695466814179628841/reviews?hl=en-CA","Like","","2019-07-25 12:42:35 PM"
61,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Fatima  Patel","Local Guide","Good Greek food reasonable price","4 stars","11 months ago","https://www.google.com/maps/contrib/109774848211068972064/reviews?hl=en-CA","Like","","2019-07-25 12:42:44 PM"
62,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Sharon  Porter",,"Exquisite meal as always. We had the Dinner for Two, which is a combination of a variety of their dishes. We thoroughly enjoyed it and still had some to take home. The staff are always lovely, and the price competitive.","5 stars","2 years ago","https://www.google.com/maps/contrib/106926938890801332485/reviews?hl=en-CA","Like","","2019-07-25 12:42:51 PM"
63,"4.5","141 reviews","https://www.google.com/maps/place/Cusina+Mediterranean+Bistro/@43.513612,-80.2204567,17z/data=!4m13!1m5!8m4!1e1!2s105614394805478414264!3m1!1e1!3m6!1s0x882b84c55d4aa263:0xb3f7e8398f2d4fae!8m2!3d43.513612!4d-80.218268!9m1!1b1?hl=en-IN","Cusina Mediterranean Bistro","Ryan  W",,"Small but the Gyro dinner was good","4 stars","a year ago","https://www.google.com/maps/contrib/111919462784183969170/reviews?hl=en-CA","Like","","2019-07-25 12:42:59 PM"
